time,open,high,low,close,tick_volume,spread,real_volume
2025-06-27 21:00:00,3277.34,3278.32,3270.56,3275.77,3669,5,0
2025-06-27 22:00:00,3275.85,3276.47,3268.4,3270.6,3343,16,0
2025-06-27 23:00:00,3270.67,3275.66,3270.42,3274.96,1826,16,0
2025-06-30 01:00:00,3275.5,3281.68,3248.48,3263.75,3969,5,0
2025-06-30 02:00:00,3263.77,3270.87,3262.87,3263.9,3078,12,0
2025-06-30 03:00:00,3263.59,3269.75,3262.68,3264.59,3200,8,0
2025-06-30 04:00:00,3264.73,3275.95,3259.54,3273.9,4067,5,0
2025-06-30 05:00:00,3274.01,3283.26,3273.82,3280.24,3468,5,0
2025-06-30 06:00:00,3280.02,3282.69,3277.97,3278.97,2856,16,0
2025-06-30 07:00:00,3279.06,3286.29,3276.95,3285.82,2492,13,0
2025-06-30 08:00:00,3285.59,3291.32,3284.72,3288.92,3152,15,0
2025-06-30 09:00:00,3289.22,3295.51,3287.89,3291.94,3535,12,0
2025-06-30 10:00:00,3292.04,3296.79,3290.74,3292.89,3383,16,0
2025-06-30 11:00:00,3292.84,3296.51,3288.26,3289.14,3279,10,0
2025-06-30 12:00:00,3289.03,3289.03,3277.43,3287.85,3587,5,0
2025-06-30 13:00:00,3287.87,3288.77,3282.46,3283.5,2833,16,0
2025-06-30 14:00:00,3283.33,3283.72,3274.64,3277.88,3297,6,0
2025-06-30 15:00:00,3278.13,3288.9,3278.13,3281.95,3633,5,0
2025-06-30 16:00:00,3281.95,3287.06,3278.01,3284.8,4205,5,0
2025-06-30 17:00:00,3285.14,3289.55,3279.32,3287.65,4130,10,0
2025-06-30 18:00:00,3287.62,3290.71,3283.71,3289.56,3773,8,0
2025-06-30 19:00:00,3289.76,3297.45,3289.1,3297.31,3323,16,0
2025-06-30 20:00:00,3298.14,3298.52,3292.02,3294.05,3018,6,0
2025-06-30 21:00:00,3294.07,3299.55,3292.6,3298.5,2865,5,0
2025-06-30 22:00:00,3298.46,3309.41,3298.07,3308.57,3407,5,0
2025-06-30 23:00:00,3308.56,3309.27,3302.33,3302.92,1917,17,0
2025-07-01 01:00:00,3303.4,3314.39,3302.38,3311.45,2528,5,0
2025-07-01 02:00:00,3311.44,3312.52,3308.61,3312.47,2463,16,0
2025-07-01 03:00:00,3312.67,3314.78,3309.97,3314.72,2840,10,0
2025-07-01 04:00:00,3314.78,3320.89,3314.13,3317.86,3881,12,0
